Name,test,speak about(to)/see you,blog,class
Andrew Hay,1,0,1,Engineer
Avram Marius,0,0,0,Engineer
Bill Gardner,0,0,0,Author
BillBrenner70,0,0,0,Author
Charlie Osborne,0,0,0,Author
Charlie Miller,1,0,0,Engineer
Cesar Cerrudo,0,0,1,Author
DanRaywood,0,1,0,Speaker
Dr. Anton Chuvakin,1,0,0,Engineer
Eric Chabrow,0,0,0,Author
Eugene Kaspersky,1,0,1,Engineer
Graham Cluley,1,1,0,Speaker
Jeremi M Gosney,1,0,0,Engineer
Katie Moussouris,0,1,0,Speaker
McAfee Labs,1,0,1,Engineer
Mikko Hypponen,1,0,0,Engineer
Razor,0,0,1,Author
Saumil Shah,0,1,0,Speaker
Virus Bulletin,1,1,1,Engineer
